superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
1,1,1,1,"""77.6""","""75.3""","""80.0""","""65.4""","""54.5""","""66.4""","""|""","""Wander""","""Franco""",2020,"""19.3""","""SS""","""S""","""R""","""70""","""190""","""professional""",320,4,"""|""",1940,677551,,,"""sa3007033""","""|""",1,,1,,"""Dominican Republic""","""A+""",,"""TBR""",2,,,,2021,80,"""OsxMtDgMaI0""","""Franco is really close to a perfect prospect, as he's plus at almost everything he tries, and had one of the best pro debuts I've ever seen.""","""This is the first 80 FV prospect of the Future Value era at FanGraphs, the best prospect on the planet, and the best I've evaluated during my tenure here. What does it take to draw such significant expectations? Let's first examine the statistical case. Franco has played 175 career games, all at levels well above what is typical for a player his age (he doesn't turn 19 until March). During those games, he's hit .336/.405/.523 with 71 extra-base hits, 20 steals, and more walks than strikeouts. In fact, across two levels in 2019, Low- and Hi-A, Franco not only walked more than he struck out, but walked about <em>twice</em> as much. He has one of the lowest swinging strike rates in the entire minor leagues, and it's possible the power hasn't fully actualized yet because Franco still hits the ball on the ground a lot (48% last year). How about the TrackMan data? Franco's exit velos and hard hit rate are both above big league average, which, again, is ridiculous for a teenager who's playing against competition four and a half years older than he is in the Florida State League.   Of course, the visual baseball evaluation is also incredible. Franco had one of the best BP sessions at the Futures Game (his was better than Jo Adell, Nolan Jones, and everyone not named Royce Lewis) and the best infield. His hands are a powder keg, accelerating to the point where he can do huge damage, and he doesn't need mechanical length to get there. This is true from both sides of the plate; Franco can't be thwarted by turning him around and forcing him to hit from a weaker side. He might not ever produce big home run totals without a swing change, but it'd be ridiculous to alter this guy's swing considering how elite his performance has been. A scouting director once told me, ""Elite players are elite all the time,"" and that has been true of Franco since he was a young teen. He's been a force of nature offensively, he plays a premium defensive position very well, and my degree of confidence in his ability to do both in perpetuity is high because that's all Franco has ever done.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""54.5""","""66.4""",,,,,"""|""",,,,2.0,,0.0,"""|""",60,45,55,60,50,60,80,60,60,60,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIN""",0.550,2020
2,3,3,14,"""69.4""","""66.4""","""70.0""","""58.5""","""51.8""","""59.1""","""|""","""MacKenzie""","""Gore""",2020,"""21.3""","""LHP""","""L""","""L""","""75""","""195""","""professional""",280,4,"""|""",2079,669022,"""gore_mackenzie""",,"""sa3005068""","""|""",3,,1,,"""Whiteville HS (NC)""",,,"""SDP""",2,,,,2021,70,"""7bZP4Vs1QhA""","""An ultra-athletic and competitive lefty with a deep, dynamic repertoire that is elevated by Gore's deceptive mechanics.""","""The blisters that disrupted Gore's first full season in pro ball were not an issue in 2019, and he reached Double-A after 15 dominant starts in the hitter-friendly Cal League, during which he surrendered just nine measly runs. Gore pitches the same way a great horror movie villain lurks and ambushes from the shadows. The strange, balletic way he hoists his leading leg and hands as high as he can before he peddles home builds fear of the unknown, and dread anticipation the same way eerie music portends someone's cinematic demise. Then Gore lunges home with a huge stride, one that takes him slightly down the first base line, and gets right on top of hitters, creating more discomfort. Then, suddenly, the jump scare. The ball explodes out from behind Gore's head and blows past flailing hitters at the letters, banishing them to the dugout until their sequel at-bat a few innings later.   Gore generated a 16% swinging strike rate overall last year and a 15% swinging strike rate on his fastball, which is amazing for a heater that only averaged 93 mph. Several other traits -- Gore generates nearly perfect backspin and seam uniformity on his fastballs, which you can see in the video that corresponds to this player capsule, and the flat approach angle of his stuff contributes, too -- help the fastball play up, including Gore's command which projects, at least, to plus. Spin efficiency also enables his curveball to be good even though it lacks big raw spin, he has glove-side command of his slider, and his changeups, though they're of mixed quality, are typically well-located. You can go wild projecting on Gore's secondary stuff, especially the changeup, and his command because he is such an exceptional athlete, and the fact that he can repeat and maintain such an odd and explosive delivery is clear evidence of that.   The 2018 blister problems created some short-term workload issues that San Diego's dev group tried to solve by shutting Gore down for most of August. He threw side sessions for most of the month before returning for one last in-game outing before the Texas League playoffs, which he didn't pitch in. He had a 40-inning increase from 2018 to 2019, when he threw 100 frames. It puts him on pace to throw 120-140 innings this year, though it only makes sense for San Diego to push him if they're contending for the playoffs. Based on how they handled Paddack and Tatis last year, such an approach seems possible.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""51.8""","""59.1""",,"""|""",0.7500,0.0000,0.0000,2.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2150,2000,50,55,50,50,55,,,60,60,60,55,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""BAL""",0.550,2020
3,2,2,2,"""69.2""","""68.1""","""70.0""","""64.5""","""58.6""","""65.0""","""|""","""Gavin""","""Lux""",2020,"""22.5""","""2B""","""L""","""R""","""74""","""190""","""professional""",280,4,"""|""",1650,666158,"""lux_gavin""",19955,"""sa917933""","""|""",2,,1,,"""Indian Trail Academy HS (WI)""","""MLB""",,"""LAD""",1,,,,2020,70,"""UN_FiRAXe4Q""","""Lux has suddenly grown into an enviable hit/power combination and has a middle infield defensive profile, though keep an eye on his throwing issues.""","""A highly entertaining example of the timeless ""you can't predict baseball"" maxim, in three years Lux has tranformed from a glove-first high school shortstop (there's a version of reality in which Lux, Bo Bichette, Hunter Bishop, <em>and</em> Spencer Torkelson are all on the same college team, though sadly, it's not this one) into a superstar offensive talent. If you want a visual example of ""twitch,"" watch Lux swing. His feet work slowly, and his right knee draws back toward his left hip like the string of a bow (different than his high school swing's footwork, which was more Sammy Sosa-ish, with ground contact in both directions) while he remains balanced and poised to strike. Then he strides forward, his hips clear, and his hands, which are looser and freer than they were as an amateur, ignite. Once Lux's hands get going, everything is over very quickly. He's tough to beat with even premium velocity but also identifies pitch types while they're in flight and can punish secondary stuff that catches too much of the zone. The other swing changes aside, Lux's bat path is relatively similar to what it was when he was a skinnier, gap-to-gap hitter with doubles power, except now he's very strong and balls are leaving the yard. He has pole-to-pole power and is going to get to it in games even though he's still a relatively low-launch angle hitter (nine degrees in the minors, 13 degrees in a small big league sample).   What happens with Lux defensively is somewhat immaterial. He's publicly admitted to having the yips, which impacts the accuracy of his throws. Pure arm strength is not really an issue, but if he keeps one-hopping easy throws to first base, he might need to move off the infield. I have the arm graded as a 45 because of the accuracy issues and think there's some risk Lux needs to move to the outfield, but even if that's the case, I feel better about him hitting than all but one other prospect in all of the minors.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""58.6""","""65.0""",,,,,"""|""",,,,1.0,,0.0,"""|""",60,60,65,55,50,45,70,70,65,55,55,45,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""CIN""",0.550,2020
4,4,4,89,"""64.0""","""61.8""","""65.0""","""54.9""","""48.2""","""55.5""","""|""","""Jo""","""Adell""",2020,"""21.1""","""LF""","""R""","""R""","""75""","""215""","""professional""",260,4,"""|""",1928,666176,"""adell_jo""",,"""sa3004837""","""|""",4,,1,,"""Ballard HS (KY)""","""AAA""",,"""LAA""",2,,,,2021,65,"""tpQIfgNoqIE""","""One of the most explosive athletes in the minors, Adell has made a surprisingly quick ascent to the upper levels and will be an elite big leaguer so long as his bat-to-ball skills continue to develop.""","""The baseball-loving world held its collective breath last year when Adell went down with two freak leg injuries on the same spring training play (while going from first to third, he strained his left hamstring, then sprained his right ankle trying to stop himself when he felt the pull) and was shelved for a couple of months. While his gait appeared compromised during Extended spring rehab outings, Adell was asymptomatic throughout the summer and during the Arizona Fall League. After a brief jaunt in the Cal League, the Angels sent him to Double-A Mobile, where he'd had a strikeout-laden cup of coffee the year before. He adjusted, cut the strikeout rate down to a very livable 22%, and hit .308/.390/.553 over two months before he was sent to Triple-A in August. Again, Adell struck out a lot when he was challenged, and there are people in baseball who worry about how often he K's, but he was just 20 years old and has had success amid many swing changes since he signed, a common theme among Angels prospects.   Adell's leg kick has been altered; he now raises it even with his waist at apex, and the height at which his hands load (as well as the angle of his bat when they do) was quite nomadic throughout last year. By the time Adell was done with Fall League and had joined Team USA's Premier12 Olympic qualifying efforts, he had a Gary Sheffield-style bat wrap. Adell is one of the best athletes in the minors (there's video of him box jumping 66 inches online) and the fact that's he's been able to manifest these adjustments on the field at will is incredible. Even if something mechanical isn't working in the future, chances are he'll be able to fix it. I've settled on projecting Adell in left field. The arm strength he showed as an amateur, when he was into the mid-90s as a pitcher, never totally returned after it mysteriously evaporated during his senior year of high school. He has a 40 arm and is such a hulking dude that he's just going to be a corner defender at maturity. Strikeouts may limit Adell's productivity when he's initially brought up, but I think eventually he'll be a middle-of-the-order force who hits 35-plus homers.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""48.2""","""55.5""",,,,,"""|""",,,,2.0,,0.0,"""|""",35,50,70,60,45,40,45,70,70,50,50,40,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""COL""",0.550,2020
5,7,21,5,"""62.8""","""59.8""","""60.0""","""59.7""","""56.8""","""60.0""","""|""","""Nate""","""Pearson""",2020,"""23.8""","""RHP""","""R""","""R""","""78""","""245""","""professional""",240,4,"""|""",2033,663878,"""pearson_nate""",,"""sa3005097""","""|""",8,,1,,"""Central Florida JC (FL)""","""AAA""",,"""TOR""",1,,,,2020,60,"""t_D8-uewjYw""","""Pearson averaged 97.5 mph with the fastball last year and, through a healthy year of starts, showed his secondary stuff is also electric.""","""Finally, a healthy season from Pearson who had yet to throw more than 20 pro innings in a season until 2019, when he threw 101 across 25 starts. I wasn't worried about Pearson being a true injury risk because his maladies (an intercostal strain, a fractured ulna due to a comebacker) have been unrelated to the typically concerning elbow and shoulder stuff. Instead, I wanted to see if he could hold his elite velo under the strain of a full-season workload, and what his secondary stuff would be like when he was forced to pitch through lineups multiple times. Not only did the velo hold water but Pearson's repertoire is very deep. Yes, he'll chuck 101 past you, but he'll also pull the string on a good changeup that runs away from lefty hitters, dump a curveball in for strikes to get ahead of you before gassing you with two strikes, and tilt in one of the harder sliders on the planet, a pitch I've personally seen him throw at 95 mph and that regularly sits in the low-90s. Does he need to throw well above 100 innings to be a true front-end arm? Yes, but that he was able to retain his stuff amid a huge innings increase in 2019 is a sign he'll be able to do so with even more innings folded in. A source with offseason intel tells me Pearson also remade his body and has gotten a little leaner. We won't truly know until he reports to camp, but if that's true, it bolsters my confidence in him sustaining this level of stuff for several years.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""56.8""","""60.0""",,"""|""",2.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2400,45,80,55,50,60,,,50,80,60,55,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""TOR""",0.550,2020
6,9,20,8,"""62.6""","""59.4""","""60.0""","""59.3""","""51.7""","""60.0""","""|""","""Luis""","""Patino""",2020,"""20.6""","""RHP""","""R""","""R""","""72""","""192""","""professional""",240,4,"""|""",2655,672715,,,"""sa3002792""","""|""",18,,2,,"""Colombia""","""AA""",,"""SDP""",2,,,,2020,60,"""k11tj7Ee2qs""","""A premium on-mound athlete with elite makeup, Patio has blossomed into one of the more exciting arms on the planet in a very short span of time.""","""If not for Sam Huff's game-tying two-run shot in the bottom of the seventh inning, we would not have gotten to see Patio chuck heaters past Royce Lewis and Jo Adell at the 2019 Futures Game. It was a coronation of sorts, an indication that the then-teenager would be ready for the bright lights of Petco Park when the Padres call on him, which might happen in 2020, even if it's out of the bullpen at first. (There are some executives who think that will be Patio's ultimate role.) He's smaller, and his changeup and command are not very good yet. But this is one of the best on-mound athletes in the minors, one who hasn't been pitching all that long, and has had premium velocity for an even shorter span of time. It'd be unreasonable to expect a 20-year-old to be fully realized when he's only been pitching for about four years. Patio's velocity came on in a huge way as he got on a pro strength program and he's added 40 pounds of good weight and about 10 ticks of velo since he signed. He's a charismatic autodidact who has taken a similarly proactive approach to learning a new language (he became fluent in English very quickly, totally of his own volition) as he has to incorporating little tricks and twists into his delivery (he's borrowed from Mac Gore) to mess with hitters.   Were this a college prospect, he'd be in the conversation for the draft's top pick, and I'm very comfortable projecting on the command and changeup because of the athleticism/makeup combination. I expect Patio will reach the big leagues this year in a bullpen capacity and compete for a rotation spot in 2021.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""51.7""","""60.0""",,"""|""",1.2500,0.0000,0.0000,2.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2500,45,65,45,,55,,,60,65,55,,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""TOR""",0.550,2020
7,5,19,3,"""62.5""","""60.3""","""60.0""","""61.5""","""58.9""","""61.7""","""|""","""Jesus""","""Luzardo""",2020,"""22.7""","""LHP""","""L""","""L""","""71""","""209""","""professional""",240,4,"""|""",1741,666200,"""luzardo_jesus""",19959,"""sa917981""","""|""",6,,1,,"""Stoneman Douglas HS (FL)""","""MLB""",,"""OAK""",1,,,,2020,60,"""XPMeIpPKW2k""","""Luzardo has upper-90s gas, perhaps the best slider in the minors, and impressive command for someone with such a high-effort delivery. He's a front-end arm with heightened injury risk.""","""The summer before his senior year of high school, Luzardo looked like a relatively unprojectable pitchability lefty, albeit an advanced one. His fastball was only in the 88-92 range at Area Codes, though his changeup and curveball were each above-average. He did not throw during the fall and instead devoted more time to working out. The following spring, with a new physique, Luzardo's stuff was way up across the board, his fastball now sitting comfortably in the mid-90s, and touching 97. Four starts into his senior season, Luzardo tore his UCL and needed Tommy John.   After most of the first three rounds of the 2016 draft had come and gone, it seemed as though Luzardo might end up at the University of Miami. Four outings (including the one during which he broke) wasn't enough for many teams to have high-level decision makers get in to see him and want to take him early, but the Nationals (who have a history of drafting pitchers who have fallen due to injury) called his name and signed him for $1.4 million, a bonus equivalent to an early second rounder. Luzardo rehabbed as a National and when he returned the following summer, his stuff had completely returned. He made just three starts for the GCL Nats before he was traded to Oakland as part of the Sean Doolittle/Ryan Madson deal.   After a dominant first full year in Oakland's system, Luzardo appeared poised to seize a rotation spot early in 2019, when suddenly, the very contagious injury bug that has bedeviled Oakland pitching prospects for the last several years infected his shoulder and, later during rehab, his lat. He was confined to early-morning sim games on the Mesa backfields until June, when he was sent to rehab at Hi-A Stockton and then to Triple-A Nashville, where Luzardo's pitch count climbed back to typical starter norms. Oakland 'penned him for September, a multi-inning weapon for the stretch and playoff run. He was sitting 94-96 and touched 99 as a starter in the minors, the same as he was out of the big league bullpen. It's a sinker, but it has barrel-shattering tail and pairs nicely with both of Luzardo's secondaries, which live at the bottom of the zone and beneath it. He'll add and subtract from his breaking ball to give it a curveball shape that bends into the zone for strikes, or add power to it and coax hitters into waiving at pitches that finish well out of the zone. His changeup is firm but has late bottom and should also miss bats. The violence in Luzardo's delivery combined with his injury history is slightly worrisome, but he was clearly operating at full speed late last year and has top-of-the-rotation stuff and pitchability, so his 60 FV has that risk baked in.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""58.9""","""61.7""",,"""|""",1.2500,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""","""3/22/16""",2350,2500,50,70,55,,65,,,55,70,55,,70,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIL""",1.018,2020
8,8,18,10,"""62.1""","""59.4""","""60.0""","""58.7""","""54.5""","""59.1""","""|""","""Dustin""","""May""",2020,"""22.7""","""RHP""","""R""","""R""","""78""","""180""","""professional""",240,4,"""|""",1658,669160,"""may_dustin""",19716,"""sa917992""","""|""",14,,2,,"""Northwest HS (TX)""","""MLB""",,"""LAD""",,,,,2020,60,"""xvHfqB6Fl5w""","""His repertoire is still developing, especially against lefties, but May has the tools to be a 3-4 WAR starter.""","""Once you've gotten a look at his stuff, May's flamboyant ginger curls and Bronson Arroyo-esque leg kick might be the third and fourth most visually captivating aspects of his on-mound presence. His fastballs, both the two and four-seam variants, are parked in the 93-97 range and peak at 99 mph. His low-ish arm slot gives his heater sinker shape, which means it's more likely to induce weak groundballs than it is to miss a lot of bats, though May occasionally uncorks two-seamers that run off the hips of left-handed hitters and back into the zone like vintage Bartolo Colon. Based on how he worked in the big leagues last year, May's out-pitch is going to be his low-90s cutter, which he commands to his glove side (he has great east/west command of everything). This is despite the fact that his vertically-breaking slider (May calls it a slider, but it has curveball shape) has one of the better spin rates in the minors and enough vertical depth to miss bats against both left and right-handed hitters. He's shown an ability to backdoor it to lefties and it was a finishing pitch for him in some of my minor league viewings, but it was de-emphasized in the big leagues, perhaps because it doesn't pair well with his fastballs. After trying several different changeup grips in 2017, it seems like May is still searching for a good cambio, but his fastball and breaking ball command should suffice against lefties for now, though I'd like to see more backfoot breaking balls against them this year.   This is nit-picky, but May's leg kick can make him slow to home and he can be vulnerable to stolen bases as a result, which forces him to vary his cadence home in an attempt to stymie runners. Regardless, he projects as an All-Star, mid-rotation starter.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""54.5""","""59.1""",,"""|""",1.0000,0.1667,1.5000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2550,3150,50,65,45,,60,55,,60,65,50,,60,60,,"""|""",,,,,,"""|""",,,,,,,,,"""TB""",0.550,2020
9,13,17,30,"""61.9""","""58.9""","""60.0""","""56.8""","""52.8""","""57.2""","""|""","""Matt""","""Manning""",2020,"""22.3""","""RHP""","""R""","""R""","""78""","""215""","""professional""",240,4,"""|""",1707,666159,"""manning_matt""",,"""sa917924""","""|""",12,,1,,"""Sheldon HS (CA)""","""AA""",,"""DET""",2,,,,2021,60,"""k-sipbEctAU""","""A prototypical frame, remarkable athleticism, and a well-designed pitch mix give Manning a shot to be a front end arm.""","""If you get dj vu reading this report it's because Manning has become the dream. All of the physical components that many front-end arms have while they're in high school were there when he was an amateur -- shooting guard frame, premium arm strength and athleticism, a breaking ball -- the stuff that enables your imagination to run wild. And Manning succeeded while devoting time to two sports, which caused him to get a late start during his draft spring because the hoops team was in the middle of a deep playoff run (Manning threw late into the prior summer, so this may have actually been good for limiting innings).   After some initial strike-throwing issues and a change in stride direction, the REM cycle arrived. The walks came down, Manning's changeup got better, and he started working with two different fastballs and was clearly manipulating the shape of his spike curveball depending on the hitter and situation. He's never had arm issues (his 2018 IL stint was due to an oblique injury), and he has rare on-mound athleticism coupled with an understanding of how to pitch. He's going to have three out-pitches thanks to adjustments he's already made, and it's fair to assume he'll be able to make more. Manning is tracking like an All-Star starter and a potential top-of-the-rotation arm.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""52.8""","""57.2""",,"""|""",1.0000,0.0000,0.0000,2.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2100,2300,45,60,50,60,,,,55,60,55,60,,,,"""|""",,,,,,"""|""",,,,,,,,,"""LAA""",0.550,2020
10,16,16,146,"""61.1""","""58.0""","""60.0""","""53.8""","""50.0""","""54.1""","""|""","""Michael""","""Kopech""",2020,"""24.1""","""RHP""","""R""","""R""","""75""","""205""","""professional""",240,4,"""|""",822,656629,"""kopech_michael""",17282,"""sa828680""","""|""",19,,2,,"""Mt. Pleasant HS (TX)""",,,"""CHW""",1,,,,2020,60,"""JXUYoulUEo8""","""After years of wildness, Kopech suddenly had control of his power fastball/slider duo, then promptly blew out his elbow. We'll see him again in 2020.""","""Just as Kopech seemed to be harnessing his hellacious stuff, he blew out. In the seven minor league starts before his big league debut, he walked just four batters, and was similarly efficient in his first few big league outings. But in his final start, the Tigers shelled him and his velocity was down; an MRI revealed he would need Tommy John. The timing was particularly cruel, not just because things had started to click, but also because late-season TJs usually cost the pitcher all of the following year, and indeed, Kopech didn't throw in a game environment until the 2019 instructional league. His first fastball in the fall? Ninety-nine miles per hour, and he sat 94-99 on the Camelback Ranch backfields.  His stuff is great, headlined by a mid-90s fastball that often crests 100 mph. The command inroads Kopech made late in 2018 are especially important for his ability to deal with lefties, because his changeup feel is not very good. He'll need to mix his two breaking balls together to deal with them, and his slider feel is way ahead of the curveball. So long as Kopech's stuff returns, he has No. 3 starter ceiling if the command comes with it, and high-leverage relief ability if it does not.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.0""","""54.1""",,"""|""",1.7500,0.1667,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""","""9/18/18""",2550,2600,40,70,40,50,55,,,45,70,45,55,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""CIN""",0.715,2020
