row,name,instances,version_4,type,location,grade,completed,tried,details
1,The Perfect Cave,2,0,Boulder,North Walls,11,1,6,"Version 2, V11 - Boulder | Version 3, V11 - Boulder"
2,Resurrection,3,1,Highball->Boulder,North Walls,9,1,1,"Version 2, V9 - Highball | Version 3, V9 - Highball | Version 4, V9 - Boulder"
3,Sesame Street,1,1,Boulder,Grand Wall,9,1,1,"Version 4, V9 - Boulder"
4,Worm World Cave,2,0,Boulder,Grand Wall,9,1,1,"Version 2, V9 - Boulder | Version 3, V9 - Boulder"
5,Mantra,3,1,Boulder,Grand Wall,8,1,1,"Version 2, V8 - Boulder | Version 3, V8 - Boulder | Version 4, V8 - Boulder"
6,Storm Troopers,3,1,Boulder,Paradise Valley,8,1,1,"Version 2, V8 - Boulder | Version 3, V8 - Boulder | Version 4, V8 - Boulder"
7,Phantom Power,2,0,Boulder,Grand Wall,8,1,1,"Version 2, V8 - Boulder | Version 3, V8 - Boulder"
8,Gibb's Cave,1,0,Boulder,Apron,8,1,1,"Version 2, V8 - Boulder"
9,The Rookie,1,0,Boulder,Grand Wall,8,1,1,"Version 2, V8 - Boulder"
10,A.T.D.,3,1,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
11,Ramen Raw,3,1,Boulder,Apron,7,1,1,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
12,The Fuzz,3,1,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
13,Undertow,3,1,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
14,Amazing Direct,2,1,Boulder,Cat Lake,7,1,1,"Version 3, V7 - Boulder | Version 4, V7 - Boulder"
15,Golden Boy,1,1,Boulder,Grand Wall,7,1,1,"Version 4, V7 - Boulder"
16,Astroman,2,0,Boulder,North Walls,7,1,2,"Version 2, V7 - Boulder | Version 3, V7 - Boulder"
17,Immunity Challenge,1,0,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder"
