HOF_Class,Player_Name,HOF_Franchise,Career_Span,Total_Seasons,Position,All_Teams,Age_Span,WAR/ERA_WAR,noDRS_WAR/FIP_WAR,PA,AB,H,HR,SB,AVG,OBP,SLG,OPS,wOBA,OPS+,wRC+,rAA,W,L,SV,G,GS,CG,SHO,K,IP,ERA,FIP,ERA-,FIP-,Black_Ink,Gray_Ink,Earnings,Trophy_Details,Draft,FA_History
Class of 2011,Roger Clemens,Houston Astros,2006 - 2008,3,sp,HOU/SD/NYY/TOR/CLE/FLA,43 - 45,10.2,9.2,,,,,,,,,,,,,,34,27,0,90,85,7,5,461,537.7,3.62,3.73,82,84,1,10,,"- 1x World Series (2006) 
- 1x SHO Leader (2007)",,
Class of 2012,Barry Bonds,Miami Marlins,2006 - 2009,4,lf,SEA/BOS/OAK/NYM/PIT/CLE/FLA,41 - 44,23.9,23.9,2518,1976,556,149,16,0.281,0.431,0.561,0.992,0.426,160,164,186.2,,,,,,,,,,,,,,17,27,,"- 3x Most Valuable Player (2004, 2005, 2006) 
- 2x Silver Slugger (2006, 2009) 
- 2x Hank Aaron (2004, 2006) 
- 2x All Star (2006, 2009) 
- 1x TRIPLECROWN (2006) 
- 3x BB% Leader (2006, 2008, 2009) 
- 2x BB Leader (2006, 2009) 
- 1x WRC+ Leader (2006) 
- 1x WAR Leader (2006) 
- 1x SLG Leader (2006) 
- 1x RBI Leader (2006) 
- 1x RAA Leader (2006) 
- 1x R Leader (2006) 
- 1x OPS+ Leader (2006) 
- 1x OBP Leader (2006) 
- 1x NODRS_WAR Leader (2006) 
- 1x HR Leader (2006) 
- 1x AVG Leader (2006) 
- All-Time Single Season WRC+ Record 
- All-Time Single Season SLG Record 
- All-Time Single Season RAA Record 
- All-Time Single Season OPS+ Record 
- All-Time Single Season OBP Record 
- All-Time Single Season NODRS_WAR Record",,
Class of 2013,John Smoltz,New York Mets,2006 - 2010,5,sp,NYM/SF/TEX/ATL/PIT/TOR,39 - 43,13.7,15.9,,,,,,,,,,,,,,61,51,0,154,153,10,3,793,975.0,3.98,3.78,91,87,1,21,6.810,"- 1x World Series (2006) 
- 1x All Star (2007) 
- 1x W Leader (2007)",,
Class of 2013,Pedro Martinez,New York Yankees,2006 - 2010,5,sp,MIN/NYY/SF/AZ,34 - 38,10.9,16.5,,,,,,,,,,,,,,63,55,0,161,161,7,5,989,996.3,4.30,3.82,98,87,5,25,7.510,"- 1x Cy Young (2004) 
- 1x All Star (2006) 
- 1x SHO Leader (2006) 
- 1x FIP_WAR Leader (2006) 
- 1x FIP- Leader (2006) 
- 1x FIP Leader (2006) 
- 1x ERA- Leader (2006)",,
Class of 2013,Randy Johnson,Miami Marlins & Cincinnati Reds,2006 - 2010,5,sp,CIN/FLA/BOS/AZ/SF/BAL/TOR,42 - 46,12.6,14.9,,,,,,,,,,,,,,50,38,1,156,124,9,5,823,813.3,3.83,3.63,87,82,3,25,2.000,"- 1x World Series (2007) 
- 1x All Star (2009) 
- 1x SHO Leader (2006) 
- 1x K/BB Leader (2009) 
- 1x CG Leader (2006)",,
Class of 2014,Billy Wagner,Seattle Mariners,2006 - 2011,6,cl,SEA/NYM/PIT/TOR/BOS/WAS/SF/AZ,34 - 39,9.5,8.8,,,,,,,,,,,,,,32,27,115,383,0,0,0,532,454.0,2.78,2.89,65,67,0,3,5.000,"- 1x Reliever of the Year (2006) 
- 1x All Star (2010)",,
Class of 2015,Manny Ramirez,New York Mets,2006 - 2012,7,lf,BOS/TB/PIT/FLA/NYM,34 - 40,31.6,31.6,4191,3634,1091,227,21,0.300,0.386,0.542,0.928,0.399,145,149,238.2,,,,,,,,,,,,,,9,44,58.200,"- 5x All Star (2006, 2007, 2008, 2009, 2010) 
- 2x Silver Slugger (2008, 2010) 
- 2x Hank Aaron (2008, 2010) 
- 1x Most Valuable Player (2008) 
- 2x WRC+ Leader (2008, 2010) 
- 2x RBI Leader (2007, 2008) 
- 2x RAA Leader (2008, 2010) 
- 2x OPS+ Leader (2008, 2010) 
- 1x HR Leader (2008) 
- Career OBP (2) 
- Career SLG (3) 
- Career OPS+ (3) (tied w/1 others) 
- Career WRC+ (4) 
- Career AVG (4)",,
Class of 2016,Chipper Jones,Baltimore Orioles & Chicago White Sox,2006 - 2013,8,3b,CHC/CHW/BAL/SF/STL,34 - 41,30.5,33.5,5177,4445,1231,186,75,0.277,0.370,0.461,0.831,0.363,121,123,140.8,,,,,,,,,,,,,,0,30,40.350,"- 2x Silver Slugger (2007, 2009) 
- 2x All Star (2007, 2009) 
- Career OBP (9)",,2 year-$8.200 MM w/CHC in 2013
Class of 2016,Roy Oswalt,Houston Astros,2006 - 2013,8,sp,HOU/CHC/LAD/NYM/TB/ATL/PIT,28 - 35,36.8,33.9,,,,,,,,,,,,,,99,87,2,264,248,21,7,1285,1683.0,3.22,3.33,76,79,3,63,39.808,"- 1x World Series (2008) 
- 2x All Star (2010, 2011) 
- 2x HR/9 Leader (2012, 2013) 
- 1x SHO Leader (2008) 
- Career HR/9 (3) 
- Career FIP- (6) (tied w/2 others) 
- Career ERA- (6) (tied w/2 others)",,2 year-$8.500 MM w/opt w/PIT in 2013
Class of 2016,Travis Hafner,Oakland Athletics,2006 - 2013,7,dh,OAK,29 - 36,17.4,17.4,4246,3615,1020,169,14,0.282,0.380,0.485,0.865,0.376,129,131,155.9,,,,,,,,,,,,,,9,29,65.847,"- 2x Silver Slugger (2006, 2007) 
- 2x WRC+ Leader (2006, 2007) 
- 2x RAA Leader (2006, 2007) 
- 2x OPS+ Leader (2006, 2007) 
- 2x OBP Leader (2006, 2007) 
- 1x BB% Leader (2007) 
- Career OBP (6)",,MLI w/TB in 2014
